user_id,studio_id,instrument_type
Om7wrrzNAfPgLP0Wu5qPuwh0bhn1,sn1rAIEhsNo5jgx0x1Jl,Percussion
Om7wrrzNAfPgLP0Wu5qPuwh0bhn1,vSrNgLZs20hJeKFlTI1z,Other
